view,res_w,res_h,N,n_isects,t_projection_ms,t_tiling_sort_ms,t_sh_ms,t_blend_ms,t_total_ms,blend_frac
0,1297,840,2627583,10411232,0.8912,5.8386,1.6762,47.3084,60.8537,0.849123
40,1297,840,2627583,14840730,2.5947,13.9662,2.6316,52.547,75.8845,0.73247
