view,kind,delta,rot_deg,trans_frac,N,eps,K,radius,valid_frac,iou_mean,iou_p10,iou_p50,cap_bind_frac,psnr_oracle,lpips_oracle,psnr_oracle_valid,fallback_frac_tau0.01,fallback_frac_tau0.05,inversion_frac,inv_depth_gap_p50,psnr_stale_order,union_frac,quad_share,psnr_stale_sh,mean_candidates_per_pixel
40,rot_yaw,0.25,0.249583,0,2627583,0.005,32,1,0.993335,0.87057,0.722222,0.888889,0.56577,31.7302,0.0169421,39.7026,0.244,0.0234984,0.00145481,4.94719e-05,31.6255,0.176425,0.329184,31.7302,29.3486
40,rot_yaw,0.5,0.499791,0,2627583,0.005,32,1,0.988009,0.856937,0.703704,0.875,0.566294,28.9411,0.0226405,39.0226,0.255135,0.0328597,0.00281834,9.2864e-05,28.8757,0.175776,0.329157,28.9411,29.3509
40,rot_yaw,1,0.999896,0,2627583,0.005,32,1,0.977375,0.864439,0.714286,0.882353,0.567032,25.9089,0.0291622,39.8514,0.259174,0.0404055,0.00553035,0.000187635,25.8742,0.174337,0.329269,25.9089,29.3554
40,rot_yaw,2,1.99995,0,2627583,0.005,32,1,0.956377,0.850751,0.7,0.869565,0.567832,22.7431,0.048608,38.6987,0.278178,0.0638341,0.0107416,0.000357866,22.7212,0.171368,0.329706,22.7431,29.345
40,rot_yaw,4,3.99997,0,2627583,0.005,32,1,0.917485,0.841162,0.689655,0.857143,0.567477,19.8152,0.0873204,38.2415,0.311879,0.104728,0.0208599,0.000666857,19.7989,0.16576,0.330251,19.8152,29.3401
40,rot_pitch,0.1,0.0989517,0,2627583,0.005,32,1,0.996266,0.888447,0.764706,0.904762,0.565874,32.913,0.00940807,41.7402,0.214882,0.0139507,0.000365323,1.20401e-05,32.8259,0.176832,0.328808,32.913,29.3485
40,rot_pitch,0.25,0.249583,0,2627583,0.005,32,1,0.992244,0.859901,0.714286,0.875,0.566485,29.0613,0.0210862,38.4154,0.265846,0.0308551,0.000896301,3.02792e-05,29.0075,0.176512,0.32913,29.0613,29.3487
40,rot_pitch,0.5,0.499791,0,2627583,0.005,32,1,0.985866,0.846018,0.6875,0.863636,0.567243,25.9035,0.0312989,36.3652,0.265938,0.046089,0.00174826,5.8651e-05,25.8698,0.175962,0.328968,25.9035,29.3499
40,rot_pitch,1,0.999896,0,2627583,0.005,32,1,0.973103,0.867577,0.72,0.888889,0.569109,23.3849,0.0358828,40.1651,0.259027,0.0436171,0.00337049,0.000114918,23.3679,0.174872,0.329289,23.3849,29.3473
40,rot_pitch,2,1.99995,0,2627583,0.005,32,1,0.948903,0.85407,0.7,0.875,0.572465,20.5055,0.0567636,39.8162,0.27783,0.0687071,0.00677335,0.000238895,20.4945,0.172712,0.330258,20.5055,29.3464
40,rot_pitch,4,3.99997,0,2627583,0.005,32,1,0.899816,0.84271,0.6875,0.857143,0.580154,17.0798,0.105926,37.2792,0.331881,0.125352,0.0132215,0.000473022,17.0727,0.167955,0.331035,17.0798,29.343
40,trans_x,0.25,0,0.0025,2627583,0.005,32,1,0.997185,0.911769,0.785714,0.9375,0.565323,35.8551,0.0118208,39.2467,0.234361,0.0164693,0,nan,35.5485,0.176721,0.328992,35.8561,29.3463
40,trans_x,0.5,0,0.005,2627583,0.005,32,1,0.995925,0.914518,0.785714,0.944444,0.565481,32.5323,0.0218503,35.4404,0.241895,0.021837,0,nan,32.3835,0.176322,0.329473,32.5327,29.3473
40,trans_x,1,0,0.01,2627583,0.005,32,1,0.993237,0.899379,0.75,0.9375,0.565809,29.2733,0.0354176,31.918,0.253329,0.0318537,0,nan,29.1792,0.175775,0.330554,29.2733,29.349
40,trans_x,2,0,0.02,2627583,0.005,32,1,0.987804,0.880814,0.714286,0.928571,0.566785,26.0685,0.0551498,28.4653,0.273502,0.0514273,0,nan,26.0173,0.174541,0.332321,26.0673,29.3554
40,trans_x,4,0,0.04,2627583,0.005,32,1,0.976991,0.847809,0.636364,0.909091,0.567784,22.9939,0.08572,25.3861,0.306756,0.0858813,0,nan,22.9653,0.171805,0.334718,22.9905,29.3535
40,trans_x,8,0,0.08,2627583,0.005,32,1,0.9556,0.788503,0.47619,0.863636,0.56762,20.0621,0.134013,22.4658,0.363716,0.145762,0,nan,20.0412,0.166268,0.337571,20.0539,29.3393
40,trans_z,0.25,0,0.0025,2627583,0.005,32,1,0.998663,0.868719,0.714286,0.888889,0.56592,39.4997,0.00854275,39.4944,0.24649,0.0206952,1.60281e-07,0,38.9538,0.17677,0.328715,39.4854,29.3516
